"","sample_type_stool","treatment_stool","visit_stool","antibiotics_stool","age_stool","sex_stool","NSAIDS_use_stool","BMI_stool","interaction_stool","subject_stool","sample_type_swab","treatment_swab","visit_swab","antibiotics_swab","age_swab","sex_swab","NSAIDS_use_swab","BMI_swab","interaction_swab","subject_swab","sample_type_tissue","treatment_tissue","visit_tissue","antibiotics_tissue","age_tissue","sex_tissue","NSAIDS_use_tissue","BMI_tissue","interaction_tissue","subject_tissue"
"Methanobrevibacter",-1.7068916594253,-0.550452904605894,-1.37034280775609,0.743769432071278,0.344108238398585,-0.637889431765452,0.124531562685092,0.212365424889856,0.0361438373967916,2.85518413092864,-12.8789506213825,0.0434263422920986,0.0768030544471276,0.58887268903626,0.199828565595025,0.0562267011214289,0.438726515341041,-0.169218794444698,-0.283132279714686,12.3755216678702,-11.6269109064413,-0.0757690046924691,-0.533333492879251,0.733817206109541,0.971298928066241,0.221466631847988,-0.109757871172748,-0.123992292908795,-0.000766778113396654,52.0713004428165
"Mobiluncus",-33.3320152875774,0.0351432079140064,-0.336639872403612,-0.445151733723304,-0.426414939304776,0.092441134830593,0.149063079443861,-0.909230095120755,0.542830913225592,7.37385932809969,0.219536433802596,0.00562614006504869,-3.66444437290251e-15,-0.479523851992096,0.581407955843706,0.0502990258360636,0.0163346861462503,-0.287485485464459,0.744171351724517,8.95391187602437e-05,33.4197811031638,0.0336158952204257,-0.337529026727764,-0.441576086816087,-0.446245354854246,0.0346309443313333,0.210618209711938,-0.78898556619624,0.481349912511525,6.30179177127299
"Propionibacteriaceae_unclassified",1.1597719298435,0.679863104160476,-0.0837322587453067,0.534724729902999,-0.0302401965796351,-0.893058493687144,0.500781329769231,0.225775846813347,0.387400993331327,0.00026020847386198,4.73313489481512,0.812113071785588,0.0585691634682645,0.151326730255694,-0.00155112363888715,-0.672631168939699,-0.276187183593481,0.61181349276165,0.0565526088335994,0.539666565084811,2.75606794791448,0.445213496986303,-0.201840574242199,0.148767781280515,0.528863654593227,-1.40251364443973,0.00607914770561121,0.323720243924378,0.082081950940008,0.000227405452078
"Propionibacterium",0.232007729510685,0.135075424959215,0.449893314354788,0.486423015084658,0.142830647824303,-1.07723844727029,-0.62870001532429,-0.172153786652662,-0.250176944089682,1.56827618387312,4.79950630749221,0.400379608303401,0.573492142771128,0.0614470385123967,-0.0797581553114925,-0.0736364172551007,-1.47758933786774,-0.0152667368874622,-0.425748215292507,4.68504683722771,4.92168813727552,0.595363334286122,0.208929327294451,0.97197273004475,0.571184925096948,-2.51927752285139,-0.67871471125917,-0.170926524217313,-0.204680829857485,2.77083513966634
"Bifidobacterium",-63.8787289522417,0.0184610934332393,0.188371454209644,-0.721067440150042,-0.115953587141326,-0.0552019196113656,-0.0765145672885365,0.800868091358749,-0.0682156139109468,10.0315882656884,-88.1744298072763,0.00592991049964087,0.851688306178918,-0.781890238755379,-0.336676598843368,0.179122869446584,0.156832875955548,1.57396864424564,-0.180511244004577,12.5684868922868,-4.39890762603109,-0.00438489563029739,0.468667705207655,-0.618524587125687,-0.0984890258298928,0.585270148798365,-0.0417149178408611,1.42961462135895,-0.093698113552924,56.0791754074487
"Adlercreutzia",-24.023823704391,0.194404214501796,-0.8730582324272,-0.220427932154187,0.192145054648477,-1.79725414893738,0.0275225835086988,-0.614857643888535,0.122920260745021,5.19936356049625,-80.4042871932695,-0.942519799433638,-0.0497363601342646,-0.454799625266702,0.231492436944028,-0.479464103245281,-0.0531751182892633,0.0351244725933628,0.515282082660527,7.6785226100335,-36.0798041226137,-0.57741477197401,-0.592223820378939,-0.492609215693556,0.193585737417811,-1.1336944217093,-0.086259116527609,-0.158596649694743,0.689029361196148,24.4095517072811
"Collinsella",-111.485062383925,0.396106912176284,0.0221722652736218,-0.737385120223459,0.0607789039004542,-0.0362146241123756,-0.649170034227784,0.912781260434288,-0.960540363701935,13.4789834354578,-132.796096148157,0.312587834905676,-0.0126063663927659,-1.27897646828719,0.061337413842883,-0.414003660651044,-0.825920436071371,0.869845942962252,-0.434202892464813,17.5236404868822,-3.30676651664789,-0.0412685508033871,-0.197894583254616,-1.10159051973855,0.15485859404378,0.101734494509125,-0.887953951589477,1.02116124884097,-0.0714980637423269,103.149610022106
"Eggerthella",-65.9064848286487,1.17060214670257,-0.149423587340068,0.741245480247779,-0.602109588193246,-2.95702655959155,2.05539563776537,-0.763533601446024,-0.0666156491636953,4.77262723874834,-91.8650501797477,0.570689232028834,0.0440386048235201,1.71966885633773,-0.838079137739101,-1.6690381589913,1.22205027920824,-0.478256401994716,-0.137600693520646,12.4466767068534,-2.44261543128285,0.764503350814708,-0.277160388380138,1.59632872200766,-0.439065943008411,-2.79003946135924,1.45377693788053,-0.883581290065614,-0.0158051792871515,42.1052804010449
"Gordonibacter",-6.14492652400784,-0.311759857870573,-0.0723090286382057,0.666919774507534,0.00384692816957135,-0.554093301684037,1.69661338059638,-1.00913871537308,0.313391671690893,0.645676829023815,-36.0144558479238,-0.174938166779466,-0.127635167750478,0.384452648853886,0.110226970422345,-0.690720798567179,0.181322015690164,-0.19164115556915,-0.00453301271768221,6.83711502561685,-19.4677579401608,-0.55009647463329,-0.336428421984312,0.471664916487273,0.32935039022436,-0.513482126532261,0.158462385418739,-0.357248227451405,0.115704152707192,10.7404128824935
"Bacteroides",28.2119694603098,-0.497852782750616,0.0209569915783795,-0.375329325593142,0.0070619891711803,0.416242053483497,-0.260558234060296,0.472764623630648,0.273963775048576,13.745800216537,18.5330349285216,0.34627129098051,0.672506043046484,-0.0788613097280485,-0.792971194689868,0.0174328905066623,0.399753547077138,-2.07910443059008,-0.3891572381023,9.45701226157481,-0.896155818532794,0.07142774168306,0.49909490211309,-0.298000257357229,-0.207325291559485,0.0618867629657681,-0.029074966457682,-0.466706219185597,-0.376178190775666,24.2778249169617
"Bacteroidales_noname",-45.6602000745074,-1.24375281682118,-0.363980392830682,-0.896916981653535,1.22771628651189,0.105727821132016,-0.413663338613897,0.0927355687154761,0.0980440569921201,20.6888655630282,-59.8896123954417,-1.10532326797481,0.0515987195056024,-0.7774994122832,0.804873287446099,0.152125671278566,-0.373005363963287,-0.130887053376946,-0.0968690804557532,23.4408188635,-10.1028167025527,-1.28240284344266,0.0975619056509221,-0.595992929869487,1.04674955244602,0.474069498412228,-0.385905146542837,0.0568177707965247,0.0797614791893543,186.156926939768
"Barnesiella",-4.33059201353393,0.0586037266910561,0.333846745964041,0.491237387514311,0.575882575347989,0.293444984183135,-0.522725031998877,0.253947645490519,-0.303679984444863,45.5368701280433,-4.13422343828371,0.108743800535443,0.688499150143649,0.121727644963835,0.560057619335997,0.266285935057882,-0.428627398778104,0.00484325759121795,-0.619337530630622,48.4244795064771,-0.032693322853458,-0.27903010201451,0.361078395227668,-0.108459929993462,0.757844571175679,0.514770176471839,-0.952925697852728,0.137308253118986,0.108594110032043,177.502297246057
"Coprobacter",-14.7175540410848,0.641746480710738,-0.0209392714954194,-0.768848387020488,-0.587497850333582,0.131710675219838,0.755227334789446,-0.387145671985508,-0.0283048251200887,21.8947014369479,-17.8127013667785,-0.0337745870704292,-0.148273821838784,-0.447411634546395,-0.405710002984483,0.126400517205305,0.76372271234672,-0.300697871220665,0.121811061640128,22.4265794585023,-0.872913199856945,0.273894375543985,-0.598801023691765,-0.536168077147167,-0.277348404171708,0.195762461465114,0.479465897412719,-0.267521446496852,0.208888989398687,140.240276159786
"Odoribacter",-44.5059505051712,0.0402494974256374,0.122161940088698,-0.269790148953293,0.518936698799453,0.0413179383020912,-0.0858571380488874,0.0872017227209704,-0.0801096356554598,13.0949297939961,-65.3537793728349,-0.0363969380851749,0.447863207706483,-0.670247819187926,0.528855092687749,0.858726236236446,-0.172317859140486,-0.58811175882303,-0.693592924529282,12.5866625530654,-3.08901572207329,-0.158930573523112,-0.604509271453711,-0.206887150244772,1.04493066612883,0.307854953985865,-0.520265097944553,-0.290079064735141,0.164072388019527,46.3733661729608
"Parabacteroides",-21.3500172944944,0.885339629003308,-0.501525072549872,-0.298135610070189,0.223187563872713,0.149395069281404,-0.16274904313321,0.775362562326552,0.0287367534996762,18.9031673994636,-25.4064160994222,0.931828091760446,-0.246725024356532,-0.129874350674958,0.0482180092033177,0.163914640967047,-0.154199541233954,0.235595247628552,-0.0829597677989468,22.0097991170849,-0.361559166350942,0.473752966974682,-0.87826144438334,-0.0648464333860263,0.521358702098751,0.4606385993998,-0.403900439087122,0.0304267330890754,0.624594170032017,103.640382350282
"Porphyromonas",-54.9742180723673,0.380003564385089,0.0202086352357799,-0.568797615028005,0.435513912582452,0.775985732954399,-0.399303292400118,-0.185852900199023,-0.0290686013148442,17.1648813710873,0.33682102313583,0.949736919867405,-0.0187460055555205,-0.470318737114325,0.867871930825149,-0.206420894429674,0.0316043030287675,0.181590219332312,-0.630868493003862,13.8938420553373,71.8909451524427,1.04849804184004,0.115884997250767,-0.336479585763376,0.564198523048424,0.0564481142876044,-0.16885528090737,-0.120061127572151,0.0582050563646727,17.6716203242311
"Paraprevotella",-8.14681478070047,-0.119486874402044,-0.883834682881991,0.822314701785624,-0.181961919984544,1.70404683616001,-0.296134519314844,0.91540993019808,0.250635511469817,35.5280571370213,-13.7854432759205,0.0929205466569913,-0.533834520563577,0.771974694667408,-0.263764404624152,1.44060941578858,-0.0416541757030783,0.744347137721788,0.388588248225193,44.3033153106592,-3.10280927191822,-0.0544821212208567,-1.02255733871151,0.475094843174062,-0.0606779089459989,1.95045137599312,-0.258746108831815,0.81673373925758,0.508496673700406,182.900468468302
"Prevotella",-16.5573888807689,0.294935366056849,0.152161926121597,0.101229669747239,0.0126023548225569,0.929748165659298,-0.164477832424562,0.508981260236345,-0.110133385171053,21.8005146581064,7.47921392874089,0.220087076110389,-0.202227882341787,-0.0852570687804429,0.474110758407917,0.185267059492975,-0.0444554331182085,0.427264751009391,-0.0420238190486568,36.2441566578985,53.0977067890846,0.150333354014493,0.532432710351355,0.256816281715584,-0.393072196982427,0.813947604316591,0.152904129451719,0.396706716150953,-0.674810066062055,39.6212880329337
"Alistipes",0.481279386156402,0.0590701627579474,-0.379590175417184,-0.428546308647519,-0.173268249655275,-0.0876172806982005,-0.738737328425211,0.070974999367744,0.0369127693536506,14.6316731136334,-8.97095004499473,-0.0176820153200679,-0.0342186142229407,-0.946880235523593,-0.512460409762203,-0.119066621298371,-0.758018930210667,-0.511049424835051,-0.0157509815297938,13.3401555558837,-22.7512201639803,-0.237303961988785,-0.572674060437361,-0.152263165188918,0.289925348789669,0.787586190190553,-0.414251231628775,-0.480514670820444,0.249681499730544,74.744876828529
"Lactobacillus",0.000337108670996993,-0.407757890492998,1.55675838097173,-0.360501029712656,1.11322816568063,-0.630891134374955,-1.87936265635694,-0.462202711524591,0.0373481274506776,3.58638635355399,-0.367820233128527,-0.326696954156974,1.56754241951527,0.0255016423108405,2.10529712236997,0.0785779387441601,-0.840602801891422,-0.0226192313251103,0.412581654134447,5.37875966983417,-0.572188091269806,-0.0698439930281269,1.27704010199711,0.560598606326345,2.88036216520718,-0.974818328560876,-0.957860194441459,-0.0118764966219484,0.334832023526624,12.6591362996508
"Streptococcus",-114.385290834144,0.979001731556255,0.466857223920976,0.606664409122618,1.33152454884626,-1.09250256810532,-0.0842715680770933,0.322440452635316,0.100774342462861,4.87114770262895,-75.9407940420424,0.342862005897231,0.448434419078055,-0.00761867268396422,2.39254132556945,-1.26270897472345,0.387536583021727,1.28619233595992,-0.0458436639872591,8.86288405689337,11.8440090375816,0.284867136006143,0.229139943987759,0.224845483394275,2.67459058765003,-0.757863116704507,-0.243539651923933,0.876039759504781,0.0241631387519013,16.4614819879927
"Clostridiaceae_noname",-39.292881712212,0.125845182050609,-0.499617554128168,-1.09576647604219,-0.278173389400027,-0.635899704419343,0.132612166171709,-0.405163030534922,0.221150758992155,7.63106552853408,-33.0518528789049,0.0665551049932943,0.0222424798214782,-0.188545622251413,-0.0662322271455546,0.114011133323457,0.468375797229584,-0.677758052133077,0.243012087883077,10.0079520500475,2.56494970115414,0.071447570176253,-0.848605751425389,-0.51282916184381,-0.201857820731538,-0.269436408996896,0.146148496533744,-0.528721471261227,0.712858451559354,35.9020529117609
"Clostridium",-105.480576036604,0.185050759050283,0.147682338509607,0.0384670549018536,1.34540268732348,-3.25369803124376,0.357165835168082,0.51483512490275,0.0703199586618511,11.9371379803953,-109.197472310584,0.250466541430051,0.393765750791825,0.670089730677196,1.27698479936283,-2.48253201881416,0.131697542187794,0.566671393839416,-0.0418557672889526,13.3460767094305,1.58351133359617,0.957067005589928,-0.25099282900582,0.586620971290528,0.476629550959058,-2.43766993886812,0.540735938599463,0.293849536297303,-0.00115081647315538,28.4118479544465
"Clostridiales_noname",-80.3760685588522,0.0321280569793007,-0.473394730269634,-0.514726358779482,0.345035246501621,-5.80593195730339,0.567425911732546,0.10989614457441,0.724389132894148,3.71411773930825,-53.5842858121969,0.664127758661042,-0.23045973805066,0.326190447703901,0.0731163715125656,-2.3353484805506,0.251308098478634,0.0116595935003468,0.0238264785798376,8.29887446704577,9.64894283078239,0.436028295942516,-0.598598524559466,-0.0142457259081314,0.209905605080476,-5.90871956699359,0.377216304294859,-0.00693772220177373,0.300935238383157,18.7747456290386
"Flavonifractor",-110.139316904007,0.0329667975279986,-1.54820721586092,-0.903936477917759,-0.882669336857802,-3.14067258403475,1.52478380895366,0.849351951553898,0.642001711962568,6.99284674856403,-170.485794473704,0.123269772309963,-0.62065085921052,0.0410265654560046,-1.02394617587444,-0.93467227041935,1.25761615768002,0.921359604301351,0.199742731959722,14.8325772295852,-3.94016490807442,0.119385819442103,-2.23874670625877,-0.229834343522065,-1.14438256930193,-2.32994423650624,0.962531628746705,0.843407686363868,0.923812525389536,34.4956510243833
"Pseudoflavonifractor",-33.0064129036088,-1.08993360783583,-1.08901463077086,-0.035684541549162,0.319149793872766,-2.5170372149519,0.694967704404261,-2.79152226733483,0.678124204468421,4.83773867293015,-63.5032673380575,-1.09402802803797,-1.49748370207022,0.108614438247396,0.281577874722227,-0.0273337982724921,-0.0133556059455428,-1.8302919678452,0.327336310927336,9.42251868588698,-9.44409519312209,-1.56552662506497,-2.70617510378826,0.104675605047639,0.210239445055072,-0.902713568383992,0.359201586974732,-2.75324535016234,1.03891182195084,38.5819434850755
"Eubacterium",-6.21803037983803,-0.0463808900846951,-1.55229219255223,-0.638339756174409,-0.0328806669205479,0.594977552341493,-0.253025595668328,0.340930720746718,0.647143255309562,14.7221958664125,-4.53873027085919,-0.0905698876615076,-1.22247748355913,-0.611119253618948,-0.0892012420664877,0.474063177492123,-0.173896518064321,0.125001859582282,0.401275509646313,18.6958252315667,1.14387325582936,-0.754040762214355,-2.29941923279037,-0.274340677614308,0.492329754641597,0.987831915867231,-0.0906869837985079,0.032273969283991,1.93373679601799,46.3010784172778
"Anaerostipes",-18.0568810785785,0.108155828086,-0.0662778187925197,0.377409816076679,-2.23423133107744,-0.904634692113531,1.34182039850583,-0.109551466960061,0.226282679594948,5.28451373609892,-55.6050704245768,0.180317400884706,-0.17119069018888,-0.0439181908025179,-0.648767899223852,-0.682043986643427,0.739088819940393,-0.199498972587562,0.22558996291989,6.42894047666192,-20.2523405645679,0.0546749019810044,-0.384622955310816,0.0974944742771915,-1.15516953739712,-0.759166685778562,0.77415272860741,-0.160871628169239,0.536215616341761,20.5305588718499
