"","sample_type_stool","treatment_stool","visit_stool","antibiotics_stool","age_stool","sex_stool","NSAIDS_use_stool","BMI_stool","interaction_stool","subject_stool","sample_type_swab","treatment_swab","visit_swab","antibiotics_swab","age_swab","sex_swab","NSAIDS_use_swab","BMI_swab","interaction_swab","subject_swab","sample_type_tissue","treatment_tissue","visit_tissue","antibiotics_tissue","age_tissue","sex_tissue","NSAIDS_use_tissue","BMI_tissue","interaction_tissue","subject_tissue"
"Blautia",-55.0945787733546,-0.0968684182857567,-0.26463932885411,0.293431229060353,0.365888594768312,-0.476320455357838,0.879353077299734,0.365180174590429,-0.0421236980157674,3.90254814864526,-62.2034754163079,-0.0816652710252885,-0.0731392251850522,0.57627464365696,0.287011897145993,-0.397920649662256,0.571927456827612,0.225098296934472,-0.322970604645825,2.74052837142403,-0.224448781129624,-0.0829880566304678,-0.799465539648383,-0.582913264993963,0.654523476690013,0.0851247328179952,1.31795861516392,1.10243496549403,0.493507037948276,5.39557244770463
"Coprococcus",-98.1550003689507,-0.265513131430172,-0.780619237709865,-0.838443471566348,0.10946660026185,0.388170680194548,0.0825864631754978,0.50709921528473,0.403271185663431,16.5582907744956,-113.757616347642,-0.12996361967414,-0.095661982134424,-0.784645852133584,0.357659060248136,0.304595397133296,0.263107730110259,0.840059684243689,0.194541991764647,17.4815813681214,-0.286986848959935,-0.0626983588405701,-0.333385522958861,-0.967499630866977,0.214767551405556,1.03129984295699,0.155543932201889,0.367951574484844,0.229771224247281,104.821118068096
"Dorea",-126.003751484764,0.178563239090644,0.126192217673339,-2.02719063489902,-0.00833747577408464,-0.0416589753822109,-0.0435350193083161,1.08187619040877,-0.199271902597664,7.64031755520717,-158.347567402598,-0.240845560100829,0.0499616646040294,-1.25925481467884,0.161510133291555,0.546626663954705,0.148139367759548,0.794818114562303,-0.01065597562038,8.86851656430111,-1.67941396257234,-0.59444725894583,-0.325004789727241,-2.06200711330143,0.414319899049107,0.54744800209438,-0.118065790313828,0.800176154218643,0.488933895837937,48.7875218781879
"Lachnospiraceae_noname",-118.440921765457,0.138638273268025,-0.000127181944234277,-0.371122998576866,1.14707037655899,-1.09982628149983,-0.357557143681144,0.357888027877153,-0.446280999216335,2.68861799758299,-133.484407481126,0.130890853169123,0.153170830398913,0.127413006054183,0.756969865435729,-1.56926568404231,-0.6882362664713,0.375379255978975,-0.644824238169173,2.47497577776433,-0.0523657114719223,-0.677894620650298,-0.838190074863112,-0.596144879431795,0.856223996622172,-0.372796531134665,0.468772575535325,0.122178452401252,0.325183694149337,4.82839765468525
"Roseburia",-23.8240863223752,0.61428040968896,-0.601792094359928,-1.41206904558468,0.248119072622962,0.125841384265815,-0.4828709400789,1.46100306596984,-0.0254240533335495,13.7948026069812,-34.0529373919586,0.195291169886463,-0.427977079031863,-1.89814569250395,0.200882626180643,-0.143015943302471,-0.438883011651618,1.54313149781,-0.0300860814134406,8.59292008438356,-7.1906669337579,-0.0696815311420044,-0.0658864043719937,-1.61324301596584,0.0797853808824756,2.12727871889666,-0.335254730472254,0.191053955820555,0.339449980871151,34.1339684166447
"Oscillibacter",-57.1501841560337,0.612594586587903,-0.694751825832324,-0.042225188132163,0.283473307469922,-2.26088689386087,0.20927713478563,1.57198773799113,0.0284291862250211,8.17390468100969,-55.0013494560791,0.74524436530002,-0.652462155043343,0.131110549958956,0.0637395542269573,-1.88660765159343,0.164690798584671,0.548429481120259,-0.133488873666587,5.98563884306515,0.911919777221828,-0.129348462789591,-0.649656945067807,0.600482811103996,-0.0469708408582306,-1.92087297659662,0.289258764668537,0.570822940825018,0.737783567054003,13.1607064286038
"Peptostreptococcaceae_noname",-8.03604597982296,1.2646593387491,0.273810129978803,-0.860398151635202,0.426007693864423,-0.0228011031090471,-0.379474880563749,1.7138381064406,-0.978739194287038,1.98334719624949,-21.9059047269007,0.503577761781917,1.30752290264046,-1.60896616433051,1.98327875141221,0.105327105809767,-1.17789967783605,1.24728669690062,-0.460468058292163,3.43713275729267,-5.90734678174697,1.19874565037233,1.55768476412638,-1.65969487514192,1.18618064486219,0.299223445637775,-0.830615275110194,1.98706933878895,-1.04415438766246,7.79514327348081
"Anaerotruncus",-68.7857339620207,-0.292908344320997,-1.02944292669662,-0.123563543809005,-1.1041979404949,-3.28563267044659,2.90828050408283,-0.55316706987385,0.166139034151043,4.20311131433343,-70.2123989046391,-0.204474480721535,-1.62106648839149,0.803535001519876,-0.73060928006194,-2.05736007020424,0.879934864156154,-0.894028421946895,0.0383207709056822,4.91690782026817,0.285434767563958,-0.356402445660969,-2.94827744685211,0.848274102876479,-0.554244098920059,-4.44120999283213,2.36328073100744,-0.845360936873273,0.397109967734145,14.1751675016327
"Faecalibacterium",3.33890885837456,-0.0173486529097475,0.783817868861773,-0.124602342590148,-0.245115976970973,0.804825746100705,-0.660608647713592,0.0759748488018099,0.0212559082608347,40.8567124508418,7.94870448775281,-0.0699279692783619,2.45856130025619,-0.156470309296366,-0.123237763889026,0.818265921120183,-0.384517341000399,-0.0288384885259295,-0.168383523057225,40.3877789189375,1.83691552381313,-0.325541797032591,1.33156255619689,-0.436148716921247,-0.154178936439409,1.40193642323289,-0.525169718492995,0.0611977206712811,-0.173297789875372,115.322897501577
"Ruminococcaceae_noname",-47.9067558438891,-0.444224052970178,-0.951392804890005,1.16525691447279,-0.0927321538284283,-1.06099890610187,0.445245285727418,-1.17133947125323,0.796352100459411,12.2322815965638,-62.0100807578415,-0.942380242438349,-0.17283083919258,1.22022559054772,0.00640351344445189,-0.220671293982051,0.707663168491434,-0.594149157497686,0.503335660390246,15.4853840212994,-3.15092453644863,-1.07752854268993,-2.11897687935874,1.3849711461394,-0.0138746114147265,-0.472510979344709,0.374326920443689,-0.968020462846985,2.0077343333938,109.755887570146
"Ruminococcus",-38.8123811150834,-0.184393596450794,-1.56154495025811,-0.748885204173199,0.133194586674163,-0.330708101855337,-0.793734285012923,1.31289410020134,0.6444917441351,18.2534074707015,-46.1535423414847,-0.170124798132805,-0.884897701739451,-1.16844004163539,0.218782098167771,-0.244460039712402,-0.280479410540689,1.21750634338572,0.40415065150622,16.9978698215955,-1.36453036682877,-0.327451093051301,-0.719083026069809,-1.94731085155585,0.306097197652327,0.444843992327609,-0.746093100594674,0.433734978070816,1.02570467780185,71.0798798003575
"Subdoligranulum",28.5699179430713,-1.21518123836382,-1.38699865687498,-0.445469860516178,0.641731615055382,-1.08718777045098,-0.0691169291483027,0.0519845262311695,0.308932011561287,18.6309828598971,28.8866404017498,-0.958389879840997,-0.25882123074623,0.178598039588301,0.443942331585889,-0.301553935764797,0.00264776028867318,-0.230762918130945,-0.0283366323413521,18.5275055495143,-0.111210869604729,-1.54117708653361,-1.04489068059078,-0.0417942314341254,0.992483597344355,-0.928348373353216,-0.109325678440969,-0.0467437620555985,0.293903890315119,50.1126982754985
"Coprobacillus",-21.1511722904062,-0.268492532470536,-0.26871885910677,0.242252603486002,0.288678241364911,-2.63559378531253,1.15609322694005,-0.0102160758573296,0.483987125948544,7.74194029043962,-15.290086385466,-0.133348428992159,-0.0552370228508074,0.689772449062485,-0.659288901131708,-1.88242801799533,0.903497237252684,-0.548785103031801,0.115068433484046,11.8663883515939,3.2193790597246,-0.673318947925902,-0.5209854932477,0.614804170174559,0.33325236192526,-2.85429121758472,0.654686245152054,-0.233656138407471,0.822130154000355,28.1409869562988
"Erysipelotrichaceae_noname",-64.2487953963737,0.094414872660149,-0.233036631369141,-0.0936563357186204,-0.222714063087655,-0.965839120572124,0.390678540168661,0.406330283220022,0.0565473579815932,7.54672192420648,-66.5758626332297,0.0604450363341744,-0.52978599788844,-0.227755477665266,0.210159281548534,-0.228946457760922,0.148215777208318,0.564110202129628,-0.00491195063931883,12.8475639350486,0.915119211483381,-0.0136508119047812,-1.03244826468505,-0.300892743458279,0.41357242878099,-0.840634770067922,0.47650023270513,0.284545817519961,0.634734887489417,35.6992431097312
"Holdemania",-66.3030637277223,-0.102135795036385,-0.479386052631783,-0.648575572591208,0.0776048009504638,-2.22164690962038,0.364800796962139,-0.276605219591736,0.437147825532246,2.4187348813448,-133.679958970456,-0.663805014489111,-0.167952544423669,-0.806234612721016,-0.526871868856847,-0.052791867988962,0.189878393651166,-1.11713469366516,0.572382551924321,7.69365144069102,-14.7035173281173,-0.530282274977289,-0.958468015325307,-1.00262409968488,-0.0781241506478044,-0.532620145902219,0.0173372298292973,-0.745958521903086,0.971396915228081,22.6575574555948
"Acidaminococcaceae_unclassified",0.705549292719956,0.59352589030235,0.114877078533683,1.2195597759558,-0.0131519818543635,0.710115928889829,-0.774309324782488,-0.0336623907737638,0.0488002139148098,0.958776936539663,1.43992159270456,0.0221127120392194,-0.0896498636634801,0.907673508249212,-0.0222454309048293,0.43779738993637,-1.31477637780415,0.104667789584463,0.636497942017401,1.23443372353525,0.43990598728379,0.144341100084408,-0.177470109868993,0.239431516280226,-0.136676502510843,0.279436289285882,-0.224729090948966,0.274788468762271,0.531739470436697,8.62249621845382
"Acidaminococcus",-2.41873797144766,1.43981329007429,-0.202766492914222,-1.09821335750624,0.168516043538836,0.937500307013287,0.00617814459163477,1.85423953485599,0.0506878808034132,41.2208924753946,-2.42312413018879,0.895790466001745,-0.213288287563409,-0.956508532560806,0.0657173109325457,0.727693278381387,-0.154320175702787,1.47977744079453,0.133438072304103,40.8504616424525,-0.241559503137441,1.07387973439238,0.452573881621913,-0.560466161146267,0.344025885386476,0.823369856232112,0.0977691263791368,1.87051302751513,0.292882095266639,150.093895725997
"Dialister",-1.25617399900105,0.919721218922554,0.754125005591697,-0.555477123961181,-1.6452958248847,0.728669393759955,-0.334466314531673,0.532182586435466,-0.511665877550511,26.0479801126106,-0.579140197147871,0.37715655523756,0.929684874820519,-0.419392946195254,-1.16580254544133,0.142689085176409,-0.179547279840569,1.43734352208239,-0.662209852104382,35.8263212277931,0.455967770756758,0.488793788034029,2.06639678463198,-0.294052632751018,-0.194520083469518,0.308884383799543,-0.240358439428535,0.767172010296963,-0.866819955598415,97.6319094870795
"Veillonella",-31.4790996808687,1.6968422762341,-0.102127908265197,0.146576608130495,1.27076151364561,1.04291088727633,0.261919973635808,-0.494343869288041,0.0886718858057952,6.77878109593397,-82.0589264310661,-0.0279088377948741,-0.162664395399128,-0.0859535638288874,1.15122693879687,0.644733459691611,0.624470222738614,0.245046603053299,0.968163276781501,7.51521146098047,-18.0866897799236,1.02223675234094,0.118274683552871,0.145222183047504,1.97484636653025,1.22164609395765,0.0327019520288028,-0.0140166791198618,0.169144288447038,27.4796733012847
"Burkholderiales_noname",-43.960019714142,0.754125256357488,-0.0484392251060656,-1.12813197401747,-0.477395519623638,0.858510213949732,0.64075575371654,-0.382136169661215,-0.0460579437436857,18.2136326709896,-48.7598988275373,0.578355264351379,-0.00660858356642913,-1.16176124439452,-1.53954204145753,1.26102771006451,0.850241360057519,-0.0807847703111437,-0.265759429187163,17.1743845604138,-0.36857002752969,0.893348202711472,0.249078273268525,-1.02566427493827,-0.908190617967923,1.66381693426684,0.818834835055387,-0.069125637713117,-0.222109359615751,117.267537239817
"Parasutterella",-41.7744614446245,0.365088858812535,-0.180470731187491,-1.04888673960036,-0.050140166447899,0.111529163325135,0.148330363936854,-0.710818758966793,0.0286618379137169,20.9344584557879,-46.315014270049,0.395525273259126,0.472944513603954,-1.48390487212581,-0.47509374785079,0.178536901203451,0.450332010624931,-1.06139297776334,-0.626619708668414,20.7377662928577,-0.0887224298715765,0.753173402127222,0.422878565310298,-1.27429521856881,-0.304384865702218,0.625539715729364,0.356254743729014,-0.529402824793147,-0.591494485315362,103.01321280384
"Sutterella",-15.1783861614828,0.289814948889697,-0.18442650999423,0.241124193055217,-0.112016649640384,-0.0295161706148821,-0.378822912770627,0.308931329993391,-0.178196590272738,36.61665122861,-9.92285827080706,0.136003020832783,-0.335102361261096,0.691465359934896,-0.128210936185369,0.561279149498978,-0.177659581100164,-0.212586290196023,0.0139821147631564,34.4338949901492,4.24390338556019,0.189458714513728,0.181574433554105,0.523382216911821,-0.260049292297973,0.423629447182028,-0.295962620204709,0.0867243761261439,0.0417002609789821,143.328297209856
"Sutterellaceae_unclassified",-16.9170058839059,0.7133581180511,0.401944403377144,-1.06383104871404,0.0111590027636392,-0.849002024219081,0.040679582272486,0.701673261824688,-0.805247611595827,18.6325800270949,-13.3942246158633,0.388186195170647,0.904289004047902,-0.953623684087779,0.0921282396324832,-0.981752214961668,0.374148926662894,0.787587641618546,-0.82369886994121,19.3332890451667,1.72459723639768,0.324513338429767,0.342211858026547,-1.20170902391219,0.132702529900702,-1.05160019316571,0.245004603848336,0.537156882545287,-0.641645079227254,94.4241355723355
"Bilophila",-93.4311564596769,0.108521919499124,-0.174832389278802,-2.54648243497712,-0.00520336832930067,0.124986267611614,0.1434807986539,1.39036669251639,-0.0650531430755073,15.4152393046566,-85.9600053809554,0.265125154215061,-0.236533630950357,-1.99556125108411,-0.11343802685078,-0.0550653191357395,0.347858598850602,0.697297937622343,-0.11259077649802,16.5075672334204,3.70548063510623,-0.0544754335281577,-0.0359531667862819,-2.47351950146504,0.0721123494695329,0.411882349862986,0.0542665047366166,0.430938770844204,0.790747029336821,112.130888582253
"Desulfovibrio",-33.4263039419871,-0.426967902068919,-0.69420072294839,-0.8986150890535,1.97461029927219,-0.476424403411299,-0.178965901561866,-0.628940811263833,0.463993489089318,10.8064685148736,-53.4484832735148,-0.208720194883408,-0.0987402744102494,-1.31160041528415,2.24932449139982,0.0945480167454542,0.593245531585601,-0.19041608167133,-0.000916570973690569,14.76802393617,-7.76843410808885,-0.649939865629874,-0.682633962416997,-1.30497413089638,2.25746655732697,-0.10599265565484,0.0320784886597763,-0.281741515018011,0.5495951426663,83.1788556655427
"Campylobacter",-45.7540049871127,0.149289414021917,-0.112651247044411,-0.193772995418906,-0.169701851874992,-0.240375439887228,0.110797562720224,-0.0300205167762944,0.0800258321541973,5.49939384574698,-4.69972094214372,-0.431534695952745,0.961822081993745,0.19133451157441,-0.232467468209556,-0.238318135318901,0.250751626447174,0.396394009029623,-0.668421451707514,12.6488019685428,37.1278049466606,0.0102378183328692,0.107397668416657,-0.0526887558846648,-0.188766949534461,-0.262849854697679,0.159898389248283,0.0725222400854206,-0.0879687423746164,12.8534131214504
"Escherichia",3.44624732334812,0.420539179564397,-0.620505342508882,-0.00884325621728449,0.482259912394054,1.22692439454303,0.202916650894022,0.490379462157561,0.0857434712827018,12.879873611822,27.2738709449517,0.502555091260081,-0.780067810151118,0.227519201850627,0.653608532640414,1.09901815681161,0.488167078575268,0.260291702419022,-0.0937271056573358,8.12166655121042,22.5662291534508,0.480256103929528,0.095659826204664,1.07058606648217,0.571814420200403,1.89664902154166,1.04304861346754,0.751672090744032,0.0286855493126246,31.9116528134268
"Klebsiella",-0.722107293915673,1.11958115437316,0.546968471239705,-0.947839650944994,0.229637413093886,0.692778108750326,-0.249998057352803,0.365005884314761,0.324673415992157,12.9942144196695,-2.82714278354483,1.26274982255412,0.714249245587174,-1.13333682539864,0.850807052712805,0.943158378226664,0.316788472753937,1.2349126271409,0.0809592020614932,5.76696722221509,-1.92294797058723,1.76999120226642,0.530634165678383,-0.690080519228679,1.77676448864261,1.42432526583259,0.211775778366252,1.22733071894304,0.294846549429034,21.9389166010499
"Haemophilus",-13.5539625371419,0.547644804643244,1.69667962458799,0.17650909750371,0.176999827882575,0.761089671130341,0.212457368196679,-0.341301461850305,-0.056150196403997,1.05647447104216,-33.3953181131743,0.17773529524664,1.74170388071921,0.896120090171706,0.71495404027151,0.930580159540564,0.0283158420005319,-0.0886430142029114,0.0410329388698931,3.36072992794745,-7.27771782751587,0.549872351527425,3.11763126771855,0.125456711723548,0.547657846651318,1.45744495894837,-0.0645961240290926,-0.0314763954771384,-0.397594240862029,16.7133379188547
"Akkermansia",37.1559911093583,-0.136584301694589,-0.621373351773511,-0.464423796391434,0.184394777601039,-0.462089767487561,-0.685013125397515,1.14257924791767,0.0493923783756646,22.9730924377102,17.10483200308,-0.626226828114236,-0.90418443537003,-0.185557905584109,0.0536967375132821,-0.859874895969811,-1.19611344964063,1.61579785184796,0.37439726908364,23.1765327318175,-3.59462184147222,-0.17858905033932,-2.63715923297639,-0.215134459176612,0.0269738074780643,-0.691925220106734,-0.866344852061541,0.769174859512204,0.780383160956368,66.6786576865221
"C2likevirus",2.14690666569187,-0.110152011654847,-1.34753052219843,-0.515324236906165,0.142650517798237,0.0703059875118975,0.605257182418468,1.37881788273053,1.67867874418716,3.67535170066223,-0.463359608153498,-0.394213171958614,-2.58286794350649,-0.576065029092346,-0.154695736076234,0.284858688758527,0.656196362954654,1.9174885161566,3.07253228277065,2.65157774068785,-5.19782104410315,0.105743903646908,-0.00837930811177943,-1.85530368125785,0.203303105602748,-0.536771041727014,0.676261043554147,1.53240574302055,0.0953013610675045,13.436340633509
